"category","description","met",
"Bicycling","bicycling, mountain, uphill, vigorous","14",
"Bicycling","bicycling, mountain, competitive, racing","16",
"Bicycling","bicycling, BMX","8.5",
"Bicycling","bicycling, mountain, general","8.5",
"Bicycling","bicycling, <10 mph, leisure, to work or for pleasure","4",
"Bicycling","bicycling, to/from work, self selected pace","6.8",
"Bicycling","bicycling, on dirt or farm road, moderate pace","5.8",
"Bicycling","bicycling, general","7.5",
"Bicycling","bicycling, leisure, 5.5 mph","3.5",
"Bicycling","bicycling, leisure, 9.4 mph","5.8",
"Bicycling","bicycling, 10-11.9 mph, leisure, slow, light effort","6.8",
"Bicycling","bicycling, 12-13.9 mph, leisure, moderate effort","8",
"Bicycling","bicycling, 14-15.9 mph, racing or leisure, fast, vigorous effort","10",
"Bicycling","bicycling, 16-19 mph, racing/not drafting or > 19 mph drafting, very fast, racing general","12",
"Bicycling","bicycling, > 20 mph, racing, not drafting","15.8",
"Bicycling","bicycling, 12 mph, seated, hands on brake hoods or bar drops, 80 rpm","8.5",
"Bicycling","bicycling, 12 mph, standing, hands on brake hoods, 60 rpm","9.0",
"Bicycling","unicycling","5",
"Conditioning Exercise","activity promoting video game (e.g., Wii Fit), light effort (e.g., balance, yoga)","2.3",
"Conditioning Exercise","activity promoting video game (e.g., Wii Fit), moderate effort (e.g., aerobic, resistance)","3.8",
"Conditioning Exercise","activity promoting video/arcade game (e.g., Exergaming, Dance Dance Revolution), vigorous effort","7.2",
"Conditioning Exercise","army type obstacle course exercise, boot camp training program","5.0",
"Conditioning Exercise","bicycling, stationary, general","7",
"Conditioning Exercise","bicycling, stationary, 30-50 watts, very light to light effort","3.5",
"Conditioning Exercise","bicycling, stationary, 90-100 watts, moderate to vigorous effort","6.8",
"Conditioning Exercise","bicycling, stationary, 101-160 watts, vigorous effort","8.8",
"Conditioning Exercise","bicycling, stationary, 161-200 watts, vigorous effort","11",
"Conditioning Exercise","bicycling, stationary, 201-270 watts, very vigorous effort","14",
"Conditioning Exercise","bicycling, stationary, 51-89 watts, light-to-moderate effort","4.8",
"Conditioning Exercise","bicycling, stationary, RPM/Spin bike class","8.5",
"Conditioning Exercise","calisthenics (e.g., push ups, sit ups, pull-ups, jumping jacks), vigorous effort","8",
"Conditioning Exercise","calisthenics (e.g., push ups, sit ups, pull-ups, lunges), moderate effort","3.8",
"Conditioning Exercise","calisthenics (e.g., situps, abdominal crunches), light effort","2.8",
"Conditioning Exercise","calisthenics, light or moderate effort, general (example: back exercises), going up & down from floor","3.5",
"Conditioning Exercise","circuit training, moderate effort","4.3",
"Conditioning Exercise","circuit training, including kettlebells, some aerobic movement with minimal rest, general, vigorous intensity","8",
"Conditioning Exercise","CurvesTM exercise routines in women","3.5",
"Conditioning Exercise","Elliptical trainer, moderate effort","5.0",
"Conditioning Exercise","resistance training (weight lifting - free weight, nautilus or universal-type), power lifting or body building, vigorous effort","6",
"Conditioning Exercise","resistance (weight) training, squats , slow or explosive effort","5",
"Conditioning Exercise","resistance (weight) training, multiple exercises, 8-15 repetitions at varied resistance","3.5",
"Conditioning Exercise","health club exercise, general","5.5"
"Conditioning Exercise","health club exercise classes, general, gym/weight training combined in one visit","5.0",
"Conditioning Exercise","health club exercise, conditioning classes","7.8",
"Conditioning Exercise","home exercise, general","3.8",
"Conditioning Exercise","stair-treadmill ergometer, general","9",
"Conditioning Exercise","rope skipping, general","11",
"Conditioning Exercise","rowing, stationary ergometer, general, vigorous effort","6",
"Conditioning Exercise","rowing, stationary, general, moderate effort","4.8",
"Conditioning Exercise","rowing, stationary, 100 watts, moderate effort","7",
"Conditioning Exercise","rowing, stationary, 150 watts, vigorous effort","8.5",
"Conditioning Exercise","rowing, stationary, 200 watts, very vigorous effort","12",
"Conditioning Exercise","ski machine, general","6.8",
"Conditioning Exercise","slide board exercise, general","11.0",
"Conditioning Exercise","slimnastics, jazzercise","6",
"Conditioning Exercise","stretching, mild","2.3",
"Conditioning Exercise","pilates, general","3",
"Conditioning Exercise","teaching exercise class (e.g., aerobic, water)","6.8",
"Conditioning Exercise","therapeutic exercise ball, Fitball exercise","2.8",
"Conditioning Exercise","upper body exercise, arm ergometer","2.8",
"Conditioning Exercise","upper body exercise, stationary bicycle - Airdyne (arms only) 40 rpm, moderate","4.3",
"Conditioning Exercise","water aerobics, water calisthenics, water exercise","5.3",
"Conditioning Exercise","whirlpool, sitting","1.3",
"Conditioning Exercise","video exercise workouts, TV conditioning programs (e.g., yoga, stretching), light effort","2.3",
"Conditioning Exercise","video exercise workouts, TV conditioning programs (e.g., cardio-resistance), moderate effort","4",
"Conditioning Exercise","video exercise workouts, TV conditioning programs (e.g., cardio-resistance), vigorous effort","6",
"Conditioning Exercise","yoga, Hatha","2.5",
"Conditioning Exercise","yoga, Power","4.0",
"Conditioning Exercise","yoga, Nadisodhana","2",
"Conditioning Exercise","yoga, Surya Namaskar","3.3",
"Conditioning Exercise","native New Zealander physical activities (e.g., Haka Powhiri, Moteatea, Waita Tira, Whakawatea, etc.) , general, moderate effort","5.3",
"Conditioning Exercise","native New Zealander physical activities (e.g., Haka, Taiahab), general, vigorous effort","6.8",
"Dancing","ballet, modern, or jazz, general, rehearsal or class","5",
"Dancing","ballet, modern, or jazz, performance, vigorous effort","6.8",
"Dancing","tap","4.8",
"Dancing","aerobic, general","7.3",
"Dancing","aerobic, step, with 6 - 8 inch step","7.5",
"Dancing","aerobic, step, with 10 - 12 inch step","9.5",
"Dancing","aerobic, step, with 4-inch step","5.5",
"Dancing","bench step class, general","8.5",
"Dancing","aerobic, low impact","5",
"Dancing","aerobic, high impact","7.3",
"Dancing","aerobic dance wearing 10-15 lb weights","10.0",
"Dancing","ethnic or cultural dancing (e.g., Greek, Middle Eastern, hula, salsa, merengue, bamba y plena, flamenco, belly, and swing)","4.5",
"Dancing","ballroom, fast","5.5",
"Dancing","general dancing (e.g., disco, folk, Irish step dancing, line dancing, polka, contra, country)","7.8",
"Dancing","ballroom dancing, competitive, general","11.3",
"Dancing","ballroom, slow (e.g., waltz, foxtrot, slow dancing, samba, tango, 19th century dance, mambo, cha cha)","3",
"Dancing","Anishinaabe Jingle Dancing","5.5",
"Dancing","Caribbean dance (Abakua, Beguine, Bellair, Bongo, Brukin's, Caribbean Quadrills, Dinki Mini, Gere, Gumbay, Ibo, Jonkonnu, Kumina, Oreisha, Jambu)","3.5",
"Dancing","fishing, general","3.5",
"Dancing","fishing, crab fishing","4.5",
"Dancing","fishing, catching fish with hands","4.0",
"Dancing","fishing related, digging worms, with shovel","4.3",
"Dancing","fishing from river bank and walking","4",
"Fishing & Hunting","fishing from boat or canoe, sitting","2",
"Fishing & Hunting","fishing from river bank, standing","3.5",
"Fishing & Hunting","fishing in stream, in waders","6",
"Fishing & Hunting","fishing, ice, sitting","2",
"Fishing & Hunting","fishing, jog or line, standing, general","1.8",
"Fishing & Hunting","fishing, dip net, setting net and retrieving fish, general","3.5",
"Fishing & Hunting","fishing, set net, setting net and retrieving fish, general","3.8",
"Fishing & Hunting","fishing, fishing wheel, setting net and retrieving fish, general","3.0",
"Fishing & Hunting","fishing with a spear, standing","2.3",
"Fishing & Hunting","hunting, bow and arrow, or crossbow","2.5",
"Fishing & Hunting","hunting, deer, elk, large game","6",
"Fishing & Hunting","hunting large game, dragging carcass","11.3",
"Fishing & Hunting","hunting large marine animals","4.0",
"Fishing & Hunting","hunting large game, from a hunting stand, limited walking","2.5",
"Fishing & Hunting","hunting large game from a car, plane, or boat","2.0",
"Fishing & Hunting","hunting, duck, wading","2.5",
"Fishing & Hunting","hunting, flying fox, squirrel","3.0",
"Fishing & Hunting","hunting, general","5",
"Fishing & Hunting","hunting, pheasants or grouse","6",
"Fishing & Hunting","hunting, birds","3.3",
"Fishing & Hunting","hunting, rabbit, squirrel, prairie chick, raccoon, small game","5",
"Fishing & Hunting","hunting, pigs, wild","3.3",
"Fishing & Hunting","trapping game, general","2.0",
"Fishing & Hunting","hunting, hiking with hunting gear","9.5",
"Fishing & Hunting","pistol shooting or trap shooting, standing","2.5",
"Fishing & Hunting","rifle exercises, shooting, lying down","2.3",
"Fishing & Hunting","rifle exercises, shooting, kneeling or standing","2.5",
"Home Activities","cleaning, sweeping carpet or floors, general","3.3",
"Home Activities","cleaning, sweeping, slow, light effort","2.3",
"Home Activities","cleaning, sweeping, slow, moderate effort","3.8",
"Home Activities","cleaning, heavy or major (e.g. wash car, wash windows, clean garage), moderate effort","3.5",
"Home Activities","cleaning, mopping, standing, moderate effort","3.5",
"Home Activities","cleaning windows, washing windows, general","3.2",
"Home Activities","mopping, standing, light effort","2.5",
"Home Activities","polishing floors, standing, walking slowly, using electric polishing machine","4.5",
"Home Activities","multiple household tasks all at once, light effort","2.8",
"Home Activities","multiple household tasks all at once, moderate effort","3.5",
"Home Activities","multiple household tasks all at once, vigorous effort","4.3",
"Home Activities","cleaning, house or cabin, general, moderate effort","3.3",
"Home Activities","dusting or polishing furniture, general","2.3",
"Home Activities","kitchen activity, general, (e.g., cooking, washing dishes, cleaning up), moderate effort","3.3",
"Home Activities","cleaning, general (straightening up, changing linen, carrying out trash, light effort","2.5",
"Home Activities","wash dishes, standing or in general (not broken into stand/walk components)","1.8",
"Home Activities","wash dishes, clearing dishes from table, walking, light effort","2.5",
"Home Activities","vacuuming, general, moderate effort","3.3",
"Home Activities","butchering animals, small","3",
"Home Activities","butchering animal, large, vigorous effort","6",
"Home Activities","cutting and smoking fish, drying fish or meat","2.3",
"Home Activities","tanning hides, general","4.0",
"Home Activities","cooking or food preparation, moderate effort","3.5",
"Home Activities","cooking or food preparation - standing or sitting or in general (not broken into stand/walk components), manual appliances, light effort","2",
"Home Activities","serving food, setting table, implied walking or standing","2.5",
"Home Activities","cooking or food preparation, walking","2.5",
"Home Activities","feeding household animals","2.5",
"Home Activities","putting away groceries (e.g. carrying groceries, shopping without a grocery cart), carrying packages","2.5",
"Home Activities","carrying groceries upstairs","7.5",
"Home Activities","cooking Indian bread on an outside stove","3",
"Home Activities","food shopping with or without a grocery cart, standing or walking","2.3",
"Home Activities","non-food shopping, with or without a cart, standing or walking","2.3",
"Home Activities","ironing","1.8",
"Home Activities","knitting, sewing, light effort, wrapping presents, sitting","1.3",
"Home Activities","sewing with a machine","2.8",
"Home Activities","laundry, fold or hang clothes, put clothes in washer or dryer, packing suitcase, washing clothes by hand, implied standing, light effort","2",
"Home Activities","laundry, hanging wash, washing clothes by hand, moderate effort","4.0",
"Home Activities","laundry, putting away clothes, gathering clothes to pack, putting away laundry, implied walking","2.3",
"Home Activities","making bed, changing linens","3.3",
"Home Activities","maple syruping/sugar bushing (including carrying buckets, carrying wood)","5",
"Home Activities","moving furniture, household items, carrying boxes","5.8",
"Home Activities","moving, lifting light loads","5",
"Home Activities","organizing room","4.8",
"Home Activities","scrubbing floors, on hands and knees, scrubbing bathroom, bathtub, moderate effort","3.5",
"Home Activities","scrubbing floors, on hands and knees, scrubbing bathroom, bathtub, light effort","2",
"Home Activities","scrubbing floors, on hands and knees, scrubbing bathroom, bathtub, vigorous effort","6.5",
"Home Activities","sweeping garage, sidewalk or outside of house","4",
"Home Activities","standing, packing/unpacking boxes, occasional lifting of lightweight household items, loading or unloading items in car, moderate effort","3.5",
"Home Activities","implied walking, putting away household items, moderate effort","3",
"Home Activities","watering plants","2.5",
"Home Activities","building a fire inside","2.5",
"Home Activities","moving household items upstairs, carrying boxes or furniture","9",
"Home Activities","standing, light effort tasks (pump gas, change light bulb, etc.)","2",
"Home Activities","walking,moderate effort tasks, non-cleaning (readying to leave, shut/lock doors, close windows, etc.)","3.5",
"Home Activities","sitting, playing with child(ren), light effort, only active periods","2.2",
"Home Activities","standing, playing with child(ren) light effort, only active periods","2.8",
"Home Activities","walking/running, playing with child(ren), moderate effort, only active periods","3.5",
"Home Activities","walking/running, playing with child(ren), vigorous effort, only active periods","5.8",
"Home Activities","walking and carrying small child, child weighing 15 lbs or more","3",
"Home Activities","walking and carrying small child, child weighing less than 15 lbs","2.3",
"Home Activities","standing, holding child","2.0",
"Home Activities","child care, infant, general","2.5",
"Home Activities","child care, sitting/kneeling (e.g., dressing, bathing, grooming, feeding, occasional lifting of child), light effort, general","2",
"Home Activities","child care, standing (e.g., dressing, bathing, grooming, feeding, occasional lifting of child), moderate effort","3",
"Home Activities","reclining with baby","1.5",
"Home Activities","breastfeeding, sitting or reclining","2.0",
"Home Activities","sit, playing with animals, light effort, only active periods","2.5",
"Home Activities","stand, playing with animals, light effort, only active periods","2.8",
"Home Activities","walk/run, playing with animals, general, light effort, only active periods","3",
"Home Activities","walk/run, playing with animals, moderate effort, only active periods","4",
"Home Activities","walk/run, playing with animals, vigorous effort, only active periods","5",
"Home Activities","standing, bathing dog","3.5",
"Home Activities","animal care, household animals, general","2.3",
"Home Activities","elder care, disabled adult, bathing, dressing, moving into and out of bed, only active periods","4.0",
"Home Activities","elder care, disabled adult, feeding, combing hair, light effort, only active periods","2.3",
"Home Activities","airplane repair","3",
"Home Activities","automobile body work","4",
"Home Activities","automobile repair, light or moderate effort","3.3",
"Home Activities","carpentry, general, workshop","3",
"Home Activities","carpentry, outside house, installing rain gutters, carpentry, outside house, building a fence","6",
"Home Activities","carpentry, outside house, building a fence","3.8",
"Home Activities","carpentry, finishing or refinishing cabinets or furniture","3.3",
"Home Activities","carpentry, sawing hardwood","6",
"Home Activities","carpentry, home remodeling tasks, moderate effort","4.0",
"Home Activities","carpentry, home remodeling tasks, light effort","2.3",
"Home Activities","caulking, chinking log cabin","5",
"Home Activities","caulking, except log cabin","4.5",
"Home Activities","cleaning gutters","5",
"Home Activities","excavating garage","5",
"Home Activities","hanging storm windows","5",
"Home Activities","hanging sheet rock inside house","5.0",
"Home Activities","hammering nails","3.0",
"Home Activities","home repair, general, light effort","2.5",
"Home Activities","home repair, general, moderate effort","4.5",
"Home Activities","home repair, general, vigorous effort","6.0",
"Home Activities","laying or removing carpet","4.5",
"Home Activities","laying tile or linoleum,repairing appliances","3.8",
"Home Activities","repairing appliances","3",
"Home Activities","painting, outside home","5",
"Home Activities","painting inside house,wallpapering, scraping paint","3.3",
"Home Activities","painting,","4.5",
"Home Activities","plumbing, general","3.0",
"Home Activities","put on and removal of tarp - sailboat","3",
"Home Activities","roofing","6",
"Home Activities","sanding floors with a power sander","4.5",
"Home Activities","scraping and painting sailboat or powerboat","4.5",
"Home Activities","sharpening tools","2.0",
"Home Activities","spreading dirt with a shovel","5",
"Home Activities","washing and waxing hull of sailboat or airplane","4.5",
"Home Activities","washing and waxing car","2.0",
"Home Activities","washing fence, painting fence, moderate effort","4.5",
"Home Activities","wiring, tapping-splicing","3.3",
"Inactivity Quiet/Light","lying quietly and watching television","1",
"Inactivity Quiet/Light","lying quietly, doing nothing, lying in bed awake, listening to music (not talking or reading)","1.3",
"Inactivity Quiet/Light","sitting quietly and watching television","1.3",
"Inactivity Quiet/Light","sitting quietly, general","1.3",
"Inactivity Quiet/Light","sitting quietly, fidgeting, general, fidgeting hands","1.5",
"Inactivity Quiet/Light","sitting, fidgeting feet","1.8",
"Inactivity Quiet/Light","sitting, smoking","1.3",
"Inactivity Quiet/Light","sitting, listening to music (not talking or reading) or watching a movie in a theater","1.5",
"Inactivity Quiet/Light","sitting at a desk, resting head in hands","1.3",
"Inactivity Quiet/Light","sleeping","0.95",
"Inactivity Quiet/Light","standing quietly, standing in a line","1.3",
"Inactivity Quiet/Light","standing, fidgeting","1.8",
"Inactivity Quiet/Light","reclining, writing","1.3",
"Inactivity Quiet/Light","reclining, talking or talking on phone","1.3",
"Inactivity Quiet/Light","reclining, reading","1.3",
"Inactivity Quiet/Light","meditating","1",
"Lawn & Gardening","carrying, loading or stacking wood, loading/unloading or carrying lumber, light-to-moderate effort","3.3",
"Lawn & Gardening","carrying, loading or stacking wood, loading/unloading or carrying lumber","5.5",
"Lawn & Gardening","chopping wood, splitting logs, moderate effort","4.5",
"Lawn & Gardening","chopping wood, splitting logs, vigorous effort","6.3",
"Lawn & Gardening","clearing light brush, thinning garden, moderate effort","3.5",
"Lawn & Gardening","clearing brush/land, undergrowth, or ground, hauling branches, wheelbarrow chores, vigorous effort","6.3",
"Lawn & Gardening","digging sandbox, shoveling sand","5",
"Lawn & Gardening","digging, spading, filling garden, composting, light-to-moderate effort","3.5",
"Lawn & Gardening","digging, spading, filling garden, compositing,","5",
"Lawn & Gardening","digging, spading, filling garden, composting, vigorous effort","7.8",
"Lawn & Gardening","driving tractor","2.8",
"Lawn & Gardening","felling trees, large size","8.3",
"Lawn & Gardening","felling trees, small-medium size","5.3",
"Lawn & Gardening","gardening with heavy power tools, tilling a garden, chain saw","5.8",
"Lawn & Gardening","gardening, using containers, older adults > 60 years","2.3",
"Lawn & Gardening","irrigation channels, opening and closing ports","4.0",
"Lawn & Gardening","laying crushed rock","6.3",
"Lawn & Gardening","laying sod","5",
"Lawn & Gardening","mowing lawn, general","5.5",
"Lawn & Gardening","mowing lawn, riding mower","2.5",
"Lawn & Gardening","mowing lawn, walk, hand mower","6",
"Lawn & Gardening","mowing lawn, walk, power mower, moderate or vigorous effort","5",
"Lawn & Gardening","mowing lawn, power mower, light or moderate effort ","4.5",
"Lawn & Gardening","operating snow blower, walking","2.5",
"Lawn & Gardening","planting, potting, transplanting seedlings or plants, light effort","2.0",
"Lawn & Gardening","planting seedlings, shrub, stooping, moderate effort","4.3",
"Lawn & Gardening","planting crops or garden, stooping, moderate effort","4.3",
"Lawn & Gardening","planting trees","4.5",
"Lawn & Gardening","raking lawn or leaves, moderate effort","3.8",
"Lawn & Gardening","raking lawn","4",
"Lawn & Gardening","raking roof with snow rake","4",
"Lawn & Gardening","riding snow blower","3",
"Lawn & Gardening","sacking grass, leaves","4",
"Lawn & Gardening","shoveling dirt or mud","5.5",
"Lawn & Gardening","shoveling snow, by hand, moderate effort","5.3",
"Lawn & Gardening","shovelling snow, by hand","6",
"Lawn & Gardening","shoveling snow, by hand, vigorous effort","7.5",
"Lawn & Gardening","trimming shrubs or trees, manual cutter","4",
"Lawn & Gardening","trimming shrubs or trees, power cutter, using leaf blower, edge, moderate effort","3.5",
"Lawn & Gardening","walking, applying fertilizer or seeding a lawn, push applicator","3",
"Lawn & Gardening","watering lawn or garden, standing or walking","1.5",
"Lawn & Gardening","weeding, cultivating garden, light-to-moderate effort","3.5"
"Lawn & Gardening","weeding, cultivating garden","4.5",
"Lawn & Gardening","weeding, cultivating garden, using a hoe, moderate-to-vigorous effort","5.0",
"Lawn & Gardening","gardening, general, moderate effort","3.8",
"Lawn & Gardening","picking fruit off trees, picking fruits/vegetables, moderate effort","3.5",
"Lawn & Gardening","picking fruit off trees, gleaning fruits, picking fruits/vegetables, climbing ladder to pick fruit, vigorous effort","4.5",
"Lawn & Gardening","implied walking/standing - picking up yard, light, picking flowers or vegetables","3.3",
"Lawn & Gardening","walking, gathering gardening tools","3",
"Lawn & Gardening","wheelbarrow, pushing garden cart or wheelbarrow","5.5",
"Lawn & Gardening","yard work, general, light effort","3",
"Lawn & Gardening","yard work, general, moderate effort","4.0",
"Lawn & Gardening","yard work, general, vigorous effort","6",
"Miscellaneous","board game playing, sitting","1.5",
"Miscellaneous","casino gambling, standing","2.5",
"Miscellaneous","card playing, sitting","1.5",
"Miscellaneous","chess game, sitting","1.5",
"Miscellaneous","copying documents, standing","1.5",
"Miscellaneous","drawing, writing, painting, standing","1.8",
"Miscellaneous","laughing, sitting","1",
"Miscellaneous","sitting, reading, book, newspaper, etc.","1.3",
"Miscellaneous","sitting, writing, desk work, typing","1.3",
"Miscellaneous","sitting, playing traditional video game, computer game","1.0",
"Miscellaneous","standing, talking in person, on the phone, computer, or text messaging, light effort","1.8",
"Miscellaneous","sitting, talking in person, on the phone, computer, or text messaging, light effort","1.5",
"Miscellaneous","sitting, studying, general, including reading and/or writing, light effort","1.3",
"Miscellaneous","sitting, in class, general, including note-taking or class discussion","1.8",
"Miscellaneous","standing, reading","1.8",
"Miscellaneous","standing, miscellaneous","2.5",
"Miscellaneous","sitting, arts and crafts, carving wood, weaving, spinning wool, light effort","1.8",
"Miscellaneous","sitting, arts and crafts, carving wood, weaving, spinning wool, moderate effort","3",
"Miscellaneous","standing, arts and crafts, sand painting, carving, weaving, light effort","2.5",
"Miscellaneous","standing, arts and crafts, sand painting, carving, weaving, moderate effort","3.3",
"Miscellaneous","standing, arts and crafts, sand painting, carving, weaving, vigorous effort","3.5",
"Miscellaneous","retreat/family reunion activities involving sitting, relaxing, talking, eating","1.8",
"Miscellaneous","retreat/family reunion activities involving playing games with children","3.0",
"Miscellaneous","touring/traveling/vacation involving riding in a vehicle","2",
"Miscellaneous","touring/traveling/vacation involving walking","3.5",
"Miscellaneous","camping involving standing, walking, sitting, light-to-moderate effort","2.5",
"Miscellaneous","sitting at a sporting event, spectator","1.5",
"Music Playing","accordion, sitting","1.8",
"Music Playing","cello, sitting","2.3",
"Music Playing","conducting orchestra, standing","2.3",
"Music Playing","double bass, standing","2.5",
"Music Playing","drums, sitting","3.8",
"Music Playing","drumming (e.g., bongo, conga, benbe), moderate, sitting","3.0",
"Music Playing","flute, sitting","2",
"Music Playing","horn, standing","1.8",
"Music Playing","piano, sitting","2.3",
"Music Playing","playing musical instruments, general","2",
"Music Playing","organ, sitting","2",
"Music Playing","trombone, standing","3.5",
"Music Playing","trumpet, standing","1.8",
"Music Playing","violin, sitting","2.5",
"Music Playing","woodwind, sitting","1.8",
"Music Playing","guitar, classical, folk, sitting","2",
"Music Playing","guitar, rock and roll band, standing","3",
"Music Playing","marching band, baton twirling, walking, moderate pace, general","4",
"Music Playing","marching band, playing an instrument, walking, brisk pace, general","5.5",
"Music Playing","marching band, drum major, walking","3.5",
"Occupation","active workstation, treadmill desk, walking","2.3",
"Occupation","airline flight attendant","3.0",
"Occupation","bakery, general, moderate effort","4",
"Occupation","bakery, light effort","2",
"Occupation","bookbinding","2.3",
"Occupation","building road, driving heavy machinery","6",
"Occupation","building road, directing traffic, standing","2",
"Occupation","carpentry, general, light effort","2.5",
"Occupation","carpentry, general, moderate effort","4.3",
"Occupation","carpentry, general, heavy or vigorous effort","7.0",
"Occupation","carrying heavy loads (e.g., bricks, tools)","8",
"Occupation","carrying moderate loads up stairs, moving boxes 25-49 lbs","8",
"Occupation","chambermaid, hotel housekeeper, making bed, cleaning bathroom, pushing cart","4",
"Occupation","coal mining, drilling coal, rock","5.3",
"Occupation","coal mining, erecting supports","5",
"Occupation","coal mining, general","5.5",
"Occupation","coal mining, shoveling coal","6.3",
"Occupation","cook, chef","2.5",
"Occupation","construction, outside, remodeling, new structures (e.g., roof repair, miscellaneous","4",
"Occupation","custodial work, light effort (e.g., cleaning sink and toilet, dusting, vacuuming, light cleaning)","2.3",
"Occupation","custodial work, moderate effort (e.g., electric buffer, feathering arena floors, mopping, taking out trash, vacuuming)","3.8",
"Occupation","driving delivery truck, taxi, shuttle bus, school bus","2.0",
"Occupation","electrical work (e.g., hook up wire, tapping-splicing)","3.3",
"Occupation","engineer (e.g., mechanical or electrical)","1.8",
"Occupation","farming, vigorous effort (e.g., baling hay, cleaning barn)","7.8",
"Occupation","farming, moderate effort (e.g., feeding animals, chasing cattle by walking and/or horseback, spreading manure, harvesting crops)","4.8",
"Occupation","farming, light effort (e.g., cleaning animal sheds, preparing animal feed)","2",
"Occupation","farming, driving tasks (e.g., driving tractor or harvester)","2.8",
"Occupation","farming, feeding small animals","3.5",
"Occupation","farming, feeding cattle, horses","4.3",
"Occupation","farming, hauling water for animals, general hauling water","4.3",
"Occupation","farming, taking care of animals (e.g., grooming, brushing, shearing sheep, assisting with birthing, medical care, branding), general","4.5",
"Occupation","farming, rice, planting, grain milling activities","3.8",
